name,link,cost for 2,cuisines,ratings,reviews,address
"lassi corner Restaurant, Chandkheda",https://www.zomato.com/ahmedabad/lassi-corner-chandkheda,250,"Beverages, Ice Cream",3.4,28," Sahyog Plaza, Kalol Road, Motera, Opposite Vishwakarma Goverment Engineering College, Chandkheda, Ahmedabad"
"1 panjabi fastfood Restaurant, Sector 16, Gandhinagar",https://www.zomato.com/ahmedabad/a-1-panjabi-fastfood-sector-16-gandhinagar,450,"North Indian, Chinese, Gujarati, Street Food",3.3,23," GH -5, Chopati, Sector 16, Gandhinagar"
"delicious food Restaurant, Sector 16, Gandhinagar",https://www.zomato.com/ahmedabad/delicious-food-sector-16-gandhinagar,200,"Street Food, South Indian",3.5,25," Near 10 B, Sector 16, Gandhinagar"
"ffc Restaurant, Gota",https://www.zomato.com/ahmedabad/ffc-gota,300,"North Indian, Chinese, Fast Food",3.5,17," Opposite New Auda Garden, S G Highway, Gota, Ahmedabad"
"gangdhar restaurant Restaurant, Odhav",https://www.zomato.com/ahmedabad/gangdhar-restaurant-odhav,250,Street Food,3.5,21," Shop 1, Tajendranagar Society, Near Hanuman Temple, Viratnagar Road, Odhav, Ahmedabad"
"egg factory Restaurant, Navrangpura",https://www.zomato.com/ahmedabad/the-egg-factory-navrangpura,400,Fast Food,2.6,25," 22, 2nd Floor, Sarovar Complex, Jain Derasar Gali, Cross Road, Navrangpura, Ahmedabad"
"chef aarti tejwani Restaurant, Mani Nagar",https://www.zomato.com/ahmedabad/chef-aarti-tejwani-mani-nagar,250,Bakery,3.7,19," Mani Nagar, Ahmedabad"
"gravitic juice Restaurant, Infocity",https://www.zomato.com/ahmedabad/gravitic-juice-infocity-gandhinagar,250,"Juices, Salad",3.3,21," G 204, Ratnaraj Residency, Sargasan, Behind Siddharaj Zori, Infocity, Gandhinagar"
"anand pizza snacks Restaurant, Prahlad Nagar",https://www.zomato.com/ahmedabad/anand-pizza-snacks-prahlad-nagar,250,"Pizza, Fast Food, Street Food, Ice Cream, Beverages",3.3,16," Opposite Dairy Den, Anand Nagar Cross Road, Prahlad Nagar, Ahmedabad"
"shreeji dairy Restaurant, Ghatlodia",https://www.zomato.com/ahmedabad/shreeji-dairy-ghatlodia,200,Mithai,3.5,33," G-5, Aastha Complex, Near Allahabad Bank, Prabhat Chowk, Ghatlodia, Ahmedabad"
"shree paras bakery Restaurant, Vastral",https://www.zomato.com/ahmedabad/shree-paras-bakery-vastral,250,Bakery,3.2,9," Shop 32, Shashwat Mahadev 1, Opposite Dharti Status, RTO Road, Vastral, Ahmedabad"
"kathiyavadi Restaurant, Airport Gandhinagar Highway",https://www.zomato.com/ahmedabad/kathiyavadi-airport-gandhinagar-highway-gandhinagar,300,"Gujarati, North Indian",2.7,21," Shop No. 5,6, Shree Rang Hights, Bhaijipura Patiya, P.D.P.U Road, Kudasan, Gandhinagar, Ahmedabad."
"charcoal bites Restaurant, Bodakdev",https://www.zomato.com/ahmedabad/the-charcoal-bites-bodakdev,400,"Sandwich, Fast Food, Italian",3.1,6," Shop 10, SBR Social, Beside ARA, Sindhu Bhavan Marg, PRL Colony, Bodakdev, Ahmedabad"
"r andhra cafe Restaurant, Sector 6, Gandhinagar",https://www.zomato.com/ahmedabad/r-andhra-cafe-sector-6-gandhinagar,200,South Indian,3.4,20," Shop 2, Shopping Complex, Near Vishal Super Market, Sector 6, Gandhinagar"
"morning time Restaurant, Prahlad Nagar",https://www.zomato.com/ahmedabad/the-morning-time-prahlad-nagar,150,Fast Food,2.6,30," Prahlad Nagar, Ahmedabad"
"mithai more Restaurant, Bopal",https://www.zomato.com/ahmedabad/mithai-more-bopal,200,"Mithai, Gujarati, South Indian, Fast Food",3.6,30," Shop 1 & 2, Gala Magnus, Near SOBO Centre, South Bopal, Bopal, Ahmedabad"
"badshah dairy products Restaurant, Paldi",https://www.zomato.com/ahmedabad/badshah-dairy-products-paldi,300,Mithai,2.8,38," Mahalaxmi Cross Road, Paldi, Ahmedabad"
"tasty food Restaurant, Chandlodia",https://www.zomato.com/ahmedabad/the-tasty-food-chandlodia,350,"South Indian, Street Food",3.5,38," Shop 5 & 6, Shriji Residency, Silver Star Road, Chandlodia, Ahmedabad"
"lutf e daawat Restaurant, Gurukul",https://www.zomato.com/ahmedabad/lutf-e-daawat-gurukul,600,"North Indian, Mughlai",3.4,32," 14, 1st Floor, Sterling Shopping Center, Near Asia School, Drive in Road, Gurukul, Ahmedabad"
"madras food corner Restaurant, Mani Nagar",https://www.zomato.com/ahmedabad/madras-food-corner-mani-nagar,250,South Indian,3.5,36," 5B, Vishal Complex, Near Sai Baba Mandir, Daxini Society, Mani Nagar, Ahmedabad"
"sonas kitchen Restaurant, Gurukul",https://www.zomato.com/ahmedabad/sonas-kitchen-gurukul,300,"Gujarati, North Indian",3.7,27," B-602, Purvi Towers, Near Subhash Chowk, Gurukul Road, Gurukul, Ahmedabad"
"petpooja Restaurant, Prahlad Nagar",https://www.zomato.com/ahmedabad/petpooja-prahlad-nagar,250,North Indian,3,34," 22, Ground Floor, Anand Nagar Shopping Complex, Near Shell Petrol Pump, Prahlad Nagar, Ahmedabad"
"sagar sandwich Restaurant, Ashram Road",https://www.zomato.com/ahmedabad/sagar-sandwich-ashram-road,200,Fast Food,3.6,36," Near Vallabhh Sadan Temple, Delite Circle, Ashram Road, Ahmedabad"
"shree jay janta ice cream Restaurant, Satellite",https://www.zomato.com/ahmedabad/shree-jay-janta-ice-cream-1-satellite,200,"Ice Cream, Desserts, Beverages",3.4,28," 5 & 6, Pujan Apartment, Opposite Seema Party Plot, Anand Nagar Road, Satellite, Ahmedabad"
"foodiesta Restaurant, Gurukul",https://www.zomato.com/ahmedabad/foodiesta-gurukul,750,"North Indian, Fast Food, South Indian",3.4,34," 1st Floor, JB Tower, Opposite Doordarshan Kendra, Drive In Road, Gurukul, Ahmedabad"
"avadh restaurant Restaurant, Vejalpur",https://www.zomato.com/ahmedabad/avadh-restaurant-vejalpur,600,"North Indian, Chinese, Fast Food",3.6,33," Hotel Avadh Inn, Avadh Arcade, Near Shell Petrol Pump, APMC 132 Feet Ring Road, Jivraj Park, Vejalpur, Ahmedabad"
"chor bazaar bistro Restaurant, Bodakdev",https://www.zomato.com/ahmedabad/chor-bazaar-bistro-bodakdev,"1,000","North Indian, Modern Indian",3.2,20," Ground Floor, Elanza Vertex, Behind Armieda, Sindhu Bhavan Road, Bodakdev, Ahmedabad"
"dudhia dairy Restaurant, Isanpur",https://www.zomato.com/ahmedabad/dudhia-dairy-isanpur,100,Mithai,3.4,41," C-1/2/3, Aakansha Apartment, Near Jaymala Bus Stand, Isanpur, Ahmedabad"
"radhe rajwadi Restaurant, Adalaj",https://www.zomato.com/ahmedabad/radhe-rajwadi-adalaj,500,"North Indian, Rajasthani, Fast Food, Street Food",3.4,31," Vaishnodevi Circle, SG Highway, Adalaj, Ahmedabad"
"chulha choki Restaurant, Gota",https://www.zomato.com/ahmedabad/chulha-choki-gota,250,North Indian,NEW,," Near Vaishnodevi Circle, S.G Highway, Gota, Ahmedabad"
"patel topping ice cream Restaurant, Ghatlodia",https://www.zomato.com/ahmedabad/patel-topping-ice-cream-ghatlodia,100,Ice Cream,NEW,," Near Panchdev Mahadev Mandir, KK Nagar Road, Ghatlodia, Ahmedabad"
"yummy twist cakes Restaurant, Isanpur",https://www.zomato.com/ahmedabad/yummy-twist-cakes-isanpur,250,Bakery,-,," Near Kankuba School, Isanpur, Ahmedabad"
