name,link,cost for 2,cuisines,ratings,reviews,address
"pentagon express Restaurant, Vaishali Nagar",https://www.zomato.com/jaipur/pentagon-express-vaishali-nagar,500,"North Indian, Continental, Chinese, Mexican",3.1,13," 3rd, 4th Floor, Plot 74, Shivraj Niketan, Gautam Marg, Vaishali Nagar, Jaipur"
"sanskar hotel restaurant Restaurant, Vaishali Nagar",https://www.zomato.com/jaipur/sanskar-hotel-restaurant-vaishali-nagar,650,"North Indian, Chinese, South Indian",3.1,9," 310, Nemi Nagar Vistar, Near Vaishali Nagar Thana, Bajri Mandi Crossing, Vaishali Nagar, Jaipur"
"hotel mohammedi Restaurant, Bais Godam",https://www.zomato.com/jaipur/the-hotel-mohammedi-bais-godam,350,"North Indian, Mughlai",3.1,11," Shop 5, Bais Godam, Industrial Area, Bais Godam, Jaipur"
"kakas veg Restaurant, Mansarovar",https://www.zomato.com/jaipur/kakas-veg-mansarovar,500,North Indian,3.1,15," 13, Basement, Near SCG Hospital, VT Road, Shipra Path, Sector 52, Mansarovar, Jaipur"
"eggitude Restaurant, C Scheme",https://www.zomato.com/jaipur/eggitude-c-scheme,200,Fast Food,3.1,11," F-82, Chaitanya Marg, Ashok Marg, C Scheme, Jaipur"
"pet puja Restaurant, Mansarovar",https://www.zomato.com/jaipur/pet-puja-1-mansarovar,300,North Indian,3.1,16," 73/16, Near Rose Garden, Paramhans Marg, Mansarovar, Jaipur"
"gulab ji chai Restaurant, MI Road",https://www.zomato.com/jaipur/gulab-ji-chai-mi-road,100,"Tea, Street Food",4.2,254," Opposite Ganpati Plaza, MI Road, Jaipur"
"arbab Restaurant, Tonk Road",https://www.zomato.com/jaipur/arbab-tonk-road,800,"Fast Food, Italian, Continental, Chinese",4.2,96," Plot 10, Airport Plaza, Mata Colony, Tonk Road, Jaipur"
"biryani by masaalchis Restaurant, Vaishali Nagar",https://www.zomato.com/jaipur/biryani-by-masaalchis-vaishali-nagar,900,"North Indian, Mughlai, Lucknowi",4.2,176," C-25, R & A Towers, Lower Ground Floor, Vaishali Nagar, Jaipur"
"house beans Restaurant, C Scheme",https://www.zomato.com/jaipur/house-of-beans-c-scheme,550,"Cafe, Fast Food, Beverages",4.2,108," C 72, Nandan Apartment, Sarojini Marg, C Scheme, Jaipur"
"ice spice Restaurant, C Scheme",https://www.zomato.com/jaipur/ice-spice-c-scheme,550,"North Indian, Chinese, South Indian",4.2,195," Near Ahinsa Circle, Ashok Marg, C Scheme, Jaipur"
"meraki Restaurant, Raja Park",https://www.zomato.com/jaipur/meraki-raja-park,500,"Asian, Thai, Chinese, Momos",4.2,113," Plot 213, Street 1, Near Panchvati Circle, Raja Park, Jaipur"
"mama fu Restaurant, C Scheme",https://www.zomato.com/jaipur/mama-fu-c-scheme,"1,000","Chinese, Asian, Sushi",4.2,73," A-5, Ground Floor, Suryavanshi Pearl, Chomu House, Sardar Patal Marg, C Scheme, Jaipur"
"thali palace Restaurant, Shyam Nagar",https://www.zomato.com/jaipur/thali-palace-shyam-nagar,450,"North Indian, Fast Food, Beverages",4.2,86," 4, Neelkant Colony, Main Ajmer Road, Purani Chungi, Shyam Nagar, Jaipur"
"feast Restaurant, C Scheme",https://www.zomato.com/jaipur/the-feast-2-c-scheme,550,"Cafe, Bakery, Italian",4.2,50," Survey 8, Ground Floor & First Floor, Mahaveer Marg, Opposite Mahaveer College Of Commerce, C Scheme, Jaipur"
"cake company jaipur Restaurant, Mansarovar",https://www.zomato.com/jaipur/cake-company-jaipur-mansarovar,400,Bakery,4.2,109," 111/195 Main Vijaypath, Madhya Marg, Mansarovar, Jaipur"
"ifc Restaurant, Mansarovar",https://www.zomato.com/jaipur/ifc-mansarovar,400,"Pizza, Fast Food",4.2,80," 
Jaipur Chowpati, Surya Nagar, Gopalpura Road, Mansarovar, Jaipur"
"masquerade by mystery rooms Restaurant, C Scheme",https://www.zomato.com/jaipur/masquerade-by-mystery-rooms-c-scheme,"1,000","Continental, Modern Indian",4.2,36," J 50-B, Sarojini Marg, C Scheme, Jaipur"
"cake point Restaurant, Vaishali Nagar",https://www.zomato.com/jaipur/cake-point-vaishali-nagar,200,Bakery,4.2,51," Plot-79, Welcome Colony, Khatipura Road, Vaishali Nagar, Jaipur"
"cake express Restaurant, Tonk Road",https://www.zomato.com/jaipur/cake-express-1-tonk-road,450,Bakery,4.2,55," Sector 9, Patap Nagar, Tonk Road, Jaipur"
"cake box Restaurant, Mansarovar",https://www.zomato.com/jaipur/cake-box-mansarovar,300,Bakery,4.2,59," Plot 47, Moti Nagar, Iskon Road, Kesar Choraha, Mansarovar, Jaipur"
"restro rj 05 Restaurant, Mansarovar",https://www.zomato.com/jaipur/restro-rj-05-mansarovar,250,North Indian,3.5,34," Steel Point, Shopping Center, Shipra Path, Paramhans Marg, Mansarovar, Jaipur"
"rao ji juice shakes dosa Restaurant, Chitrakoot",https://www.zomato.com/jaipur/rao-ji-juice-shakes-and-dosa-chitrakoot,250,"Beverages, South Indian",3.5,29," National Super Market, Ajmer Road, Near Asopa Hospital, Chitrakoot, Jaipur"
"khandela haveli restaurant Restaurant, Bani Park",https://www.zomato.com/jaipur/khandela-haveli-restaurant-bani-park,"1,500",North Indian,3.5,20," Khandela Haveli, D 219 A, Bhaskar Marg, Bani Park, Jaipur"
"rajasthan royal multi cuisine restaurant Restaurant, Vaishali Nagar",https://www.zomato.com/jaipur/rajasthan-royal-multi-cuisine-restaurant-vaishali-nagar,600,"North Indian, Fast Food, Beverages",3.5,27," B 101, MK Plaza, Amrapali Road, Vaishali Nagar, Jaipur"
"cafe k Restaurant, Pink City",https://www.zomato.com/jaipur/cafe-k-1-pink-city,300,"Cafe, Fast Food",3.5,40," 258, Johari Bazar Rd, Pink City, Jaipur"
"vatsalya Restaurant, Raja Park",https://www.zomato.com/jaipur/vatsalya-1-raja-park,200,"North Indian, Street Food",3.5,29," Plot 497, Street 5, Near AC Market, Raja Park, Jaipur"
"thali king Restaurant, MI Road",https://www.zomato.com/jaipur/thali-king-mi-road,300,"North Indian, Fast Food",3.5,44," Mehrishi Bhawan, Opposite Ganpati Plaza, MI Road, Jaipur"
"taste nawab Restaurant, Shyam Nagar",https://www.zomato.com/jaipur/taste-of-nawab-2-shyam-nagar,600,"North Indian, Mughlai",3.5,30," Plot 92, Vistaar, Pandit T.N Mishra Marg, Nirman Nagar, Near Shyam Nagar, Jaipur"
"little bites Restaurant, Tonk Road",https://www.zomato.com/jaipur/little-bites-tonk-road,400,Fast Food,3.5,36," Shop CG/S1, Nehru Place, Opposite Nehru Bal Udhyan, Tonk Road, Jaipur"
"radha palace Restaurant, Vaishali Nagar",https://www.zomato.com/jaipur/radha-palace-vaishali-nagar,200,North Indian,3.5,29," Panchsil Colony, Purani Chungi, Ajmer Road, Vaishali Nagar, Jaipur"
