name,link,cost for 2,cuisines,ratings,reviews,address
"datar kathiyavadi hotel Restaurant, Kavas",https://www.zomato.com/surat/datar-kathiyavadi-hotel-kavas,300,Gujarati,3.2,7," 106/3, Riddhi Siddhi Conplex, Near Kavas Patiya, Ichhapore, Hazira Main Road, Kavas, Surat"
"sat fast food Restaurant, Varachha",https://www.zomato.com/surat/sat-fast-food-varachha,300,"Gujarati, North Indian",3.2,7," Shop 8/b, Shyamal Building, Opposite Kohinoor Society, Near Crystal Chambers, Varachha, Surat"
"love sugar dough Restaurant, Athwa",https://www.zomato.com/surat/love-sugar-dough-athwa,200,Desserts,3.2,13," H/7, Parle Point Palace, Parle Point, City Light, Surat, Athwa, Surat"
"one tawa fry Restaurant, Rander",https://www.zomato.com/surat/a-one-tawa-fry-rander,500,North Indian,3.2,9," Near Pipardiwala School, Opposite Paradise Appartment, Ramnagar, Rander, Surat"
"bombay pizza fast food Restaurant, Varachha",https://www.zomato.com/surat/bombay-pizza-fast-food-varachha,150,Fast Food,3.2,8," Shop 31, Shayona Plaza, Near BRTS, Yogi Chok, Varachha, Surat"
"sunday locho house Restaurant, Amroli",https://www.zomato.com/surat/sunday-locho-house-amroli,100,"Street Food, Fast Food, Gujarati",3.2,7," 27, Sunday Residency, Opposite Shrushti Row House, Amroli-Kosad Road, Amroli, Surat"
"pakodi food snacks Restaurant, Varachha",https://www.zomato.com/surat/pakodi-food-snacks-varachha,150,Fast Food,3.2,10," Shop G/60, Abhishek Arcade, Near Vastupujan Heights, Yogi Chowk, Punagam, Varachha, Surat."
"shri mahakali locho khaman live dhokla Restaurant, Jahangir Pura",https://www.zomato.com/surat/shri-mahakali-locho-khaman-live-dhokla-jahangir-pura,100,Gujarati,3.2,7," Shop 9, Anjani Icon, Chitrali Road, Laxmi Farm, Near DGVCL Rander 2 Office, Jahangir Pura, Surat"
"new prakash bakery Restaurant, Nanpura",https://www.zomato.com/surat/new-prakash-bakery-nanpura,300,"Desserts, Bakery",3.2,9," 2/1969, Opposite Police Line, Rudrapura Main Road, Nanpura, Surat"
"dk puff zone bakery Restaurant, Amroli",https://www.zomato.com/surat/dk-puff-zone-bakery-1-amroli,200,Street Food,3.2,11," Charbhuja Arcade Cross Road, Amroli Surat"
"mitro fastfood Restaurant, Godadara",https://www.zomato.com/surat/mitro-fastfood-godadara,150,"Fast Food, Street Food",3.2,11," Shop 25, Raj Empire, Near Maharana Pratap Char Rasta, Godadara, Surat"
"new laxmi dairy sweets Restaurant, Katargam",https://www.zomato.com/surat/new-laxmi-dairy-and-sweets-katargam,200,Mithai,3.2,10," Crystal Nagar, Laxmi Nagar Society, Katargam, Surat"
"shahi chicken biryani Restaurant, Udhna Gam",https://www.zomato.com/surat/shahi-chicken-biryani-udhna-gam,300,"Biryani, Fast Food",3.2,11," 1, Salabatpura, Patel Nagar Masjid, Udhna Gam, Surat"
"tikke shikke Restaurant, Piplod",https://www.zomato.com/surat/tikke-shikke-piplod,200,Fast Food,3.2,12," Rundh Jakat Naka, Opposite International Business Centre, Piplod, Surat"
"malhar fancy dhosa Restaurant, Katargam",https://www.zomato.com/surat/malhar-fancy-dhosa-katargam,250,South Indian,3.2,10," Near Akharvadi, Ved Road, Narayan Nagar, Katargam, Surat"
"al madina Restaurant, Nanpura",https://www.zomato.com/surat/al-madina-nanpura,400,"Mughlai, North Indian, Biryani",3.6,86," 1/1528, Nr. Khalifa Masjid, Kardarshah Nal, Nanpura, Surat., Nanpura, Surat"
"egg zone mega food mall Restaurant, Piplod",https://www.zomato.com/surat/egg-zone-mega-food-mall-piplod,250,"Biryani, North Indian, Fast Food, Beverages",3.6,43," Near Valentine Multiplex, Piplod, Surat"
"tulsi restaurant Restaurant, Varachha",https://www.zomato.com/surat/tulsi-restaurant-1-varachha,400,North Indian,3.6,92," Opposite Punagam Junction, Canal Road, Varachha, Surat"
"al shahi darbar Restaurant, Chowk Bazaar",https://www.zomato.com/surat/al-shahi-darbar-chowk-bazaar,500,"North Indian, Chinese, Kebab",3.6,58," 11/2310-A, Marjan Shami Road, Variyavi Bazar, Chowk Bazaar, Surat"
"ganesh chinese fastfood Restaurant, Udhna Gam",https://www.zomato.com/surat/ganesh-chinese-fastfood-udhna-gam,200,"Chinese, Street Food",3.6,80," Shop 24, Ground Floor, New Ashirwad Complex, B/H Jivan Jyot Cinema, Udhna Gam, Surat"
"raja omelette center Restaurant, Amroli",https://www.zomato.com/surat/raja-omelette-center-amroli,200,Fast Food,3.6,76," Amroli Kosad Road, Near Fortune Carz Club, Opp Razwadi Party Plot, Chorasi, Amroli, Surat"
"shezz pizza Restaurant, Piplod",https://www.zomato.com/surat/shezz-pizza-1-piplod,450,"Pizza, Wraps, Sandwich",3.6,53," HS 58/59, Rahul Raj Mall, Piplod, Surat"
"foodiez point Restaurant, Adajan Patiya",https://www.zomato.com/surat/the-foodiez-point-adajan-patiya,300,"Chinese, Fast Food, Street Food",3.6,38," shop-G39,silver sprig apartment opposite shree ram petrol pump, Anand mahal road, adajan."
"nawabs kitchen Restaurant, Gopipura",https://www.zomato.com/surat/nawabs-kitchen-gopipura,300,"Mughlai, Fast Food, Chinese",3.6,39," Ground Floor, Nukoosh Building Opposite Wedding Showroom, Lalgate, Gopipura, Surat"
"egg tadka Restaurant, Pal Gam",https://www.zomato.com/surat/egg-tadka-pal-gam,150,"Street Food, Fast Food",3.6,78," TP 10, Main Road, Pankaj Nagar, Surat"
"joules Restaurant, Vesu",https://www.zomato.com/surat/joules-3-vesu,600,"Juices, Fast Food, Desserts",3.6,42," G-14, Aastha Corporate Capital, Besides VIP Plaza, VIP Road, Surat"
