url,fav,lat,lon
https://www.zomato.com/ahmedabad/my-magical-kitchen-prahlad-nagar,"Khichda, Pav Bhaji, Aloo Paratha, Palak Paneer, Raita, Manchurian, Burgers",23.0115018867,72.5233671069
https://www.zomato.com/ahmedabad/trupti-food-court-1-kankaria,₹300 for two people (approx.),23.0033704193,72.6008702070
https://www.zomato.com/ahmedabad/oven-paldi,₹300 for two people (approx.),23.0056390335,72.5558168069
https://www.zomato.com/ahmedabad/mayur-bhajiya-gurukul,₹100 for two people (approx.),23.0465968327,72.5297554582
https://www.zomato.com/ahmedabad/kutchi-karnavati-mani-nagar,₹150 for two people (approx.),22.9938897239,72.6072354242
https://www.zomato.com/ahmedabad/rich-nutritionwala-adalaj,₹300 for two people (approx.),23.1391600733,72.5427923352
https://www.zomato.com/ahmedabad/hungama-fun-food-naroda,₹350 for two people (approx.),23.0669968767,72.6449694112
https://www.zomato.com/ahmedabad/masty-foods-bopal,₹600 for two people (approx.),23.0098876061,72.4772636220
https://www.zomato.com/ahmedabad/hardys-cafe-satellite,₹200 for two people (approx.),23.0296816534,72.5276623294
https://www.zomato.com/ahmedabad/no-mad-baker-the-pizzeria-bopal,"Cheesy Garlic Bread, Butter Chicken Pizza",23.0362410000,72.4810260000
https://www.zomato.com/ahmedabad/gayatri-bhajiya-corner-rakhial,₹100 for two people (approx.),23.0197745013,72.6325118914
https://www.zomato.com/ahmedabad/radhe-dhokla-2-satellite,₹300 for two people (approx.),23.0127924331,72.5182524696
https://www.zomato.com/ahmedabad/curries-xpress-vastrapur,₹500 for two people (approx.),23.0284807504,72.5425529480
https://www.zomato.com/ahmedabad/ambika-fast-food-1-ranip,₹350 for two people (approx.),23.0807113666,72.5638781860
https://www.zomato.com/ahmedabad/melt-in-vastrapur,"Gelato, Cheesecake",23.0398669906,72.5319572166
https://www.zomato.com/ahmedabad/cheers-bodakdev,"Thick Shakes, Faluda, Blueberry Cheesecake Shake",23.0327554472,72.5032495335
https://www.zomato.com/ahmedabad/the-ganthiya-house-vastrapur,₹150 for two people (approx.),23.0379386514,72.5274202600
https://www.zomato.com/ahmedabad/modi-express-bopal,₹300 for two people (approx.),23.0085291390,72.4832677469
https://www.zomato.com/ahmedabad/foodinn-sarkhej,₹900 for two people (approx.),22.9934230636,72.5126677752
https://www.zomato.com/chaat-mahal-food-truck,₹150 for two people (approx.),23.0128411910,72.5176429376
https://www.zomato.com/ahmedabad/hop-meal-prahlad-nagar,₹700 for two people (approx.),22.9916243073,72.5139964744
