name,link,cost for 2,cuisines,ratings,reviews,address
"my restaurant Restaurant, Vadiwadi",https://www.zomato.com/vadodara/my-restaurant-vadiwadi,800,"North Indian, Chinese",3.3,155," Ground Floor, Solitare Complex, Old Padra Road, Vadiwadi, Vadodara"
"jsk amritsari kulcha stuffed parathas Restaurant, Sama",https://www.zomato.com/vadodara/jsk-amritsari-kulcha-stuffed-parathas-sama,300,North Indian,3.6,118," Opposite Food Homes Supermarket, Sama-Savli Road, Sama, Vadodara"
"paras pan house Restaurant, Alkapuri",https://www.zomato.com/vadodara/paras-pan-house-alkapuri,100,Paan,4.0,140," Windsor Plaza, RC Dutt Road, Alkapuri, Vadodara"
"mn paratha plaza Restaurant, Diwalipura",https://www.zomato.com/vadodara/mn-paratha-plaza-diwalipura,300,North Indian,4.0,89," 3, Signet Hub, Akshar Chowk, Old Padra Road, Vadodara, Diwalipura, Vadodara"
"baking company Restaurant, Diwalipura",https://www.zomato.com/vadodara/the-baking-company-diwalipura,200,"Bakery, Desserts",4.1,91," Shop 3, Pancham icon, Near Vasna D Mart, Diwalipura, Vadodara"
"marhaba restaurant Restaurant, Karelibaug",https://www.zomato.com/vadodara/marhaba-restaurant-karelibaug,800,"Biryani, Chinese",3.7,207," Near Sharda Mandir School, Machhipith Naka, Salatwada Road, Karelibaug, Vadodara"
"nanking Restaurant, Karelibaug",https://www.zomato.com/vadodara/nanking-karelibaug,200,Chinese,3.9,207," Shop 19 & 20, NBCC Plaza, Near Vooda Circle, Utkarsh Petrol Pump, Karelibaugh, Vadodara"
"us pizza Restaurant, Kendranagar",https://www.zomato.com/vadodara/us-pizza-1-kendranagar,500,"Pizza, Fast Food",3.7,165," 4A, Ground Floor, Dhananjay Complex, Gajanan Park, Waghodia Road, Uma Char Rasta, Kendranagar, Vadodara"
"regal restaurant Restaurant, Alkapuri",https://www.zomato.com/vadodara/regal-restaurant-alkapuri,600,North Indian,3.5,208," Ground Floor 1&2, Siddhivinayak Complex, Opposite Railway Station West, Alkapuri, Vadodara"
"lalabhai sevusal wala Restaurant, Manjalpur",https://www.zomato.com/vadodara/lalabhai-sevusal-wala-manjalpur,100,"Gujarati, Street Food",3.7,202," Near Shreya School, Opposite Sales Corner, Manjalpur Naka, Manjalpur, Vadodara"
"peri peri club Restaurant, Diwalipura",https://www.zomato.com/vadodara/the-peri-peri-club-diwalipura,500,"Portuguese, Continental",4.1,109," Ground Floor, Shop No 1-2, Blanca Complex, Opposite Rajlaxmi Society, Old Padra Road, Diwalipura, Vadodara"
"salad republic Restaurant, Diwalipura",https://www.zomato.com/vadodara/salad-republic-diwalipura,400,"Healthy Food, Continental, Salad",4.0,131," 12, Rk Plaza, Near New Court, Sainath Marg, Diwalipura, Vadodara"
"saffron Restaurant, Vadiwadi",https://www.zomato.com/vadodara/saffron-vadiwadi,700,"North Indian, Chinese",3.3,112," 02, Ground Floor, Atlantis Heights, Shree Vikram Sarabhai Marg, Near Genda Circle, Vadiwadi, Vadodara"
"0265 burgers pizzas Restaurant, Alkapuri",https://www.zomato.com/vadodara/0265-burgers-pizzas-alkapuri,300,"Fast Food, Burger, Pizza",4.2,161," Shop 17, Alkapuri Shopping Centre, Vishwas Colony, Alkapuri, Vadodara"
"dhadoom Restaurant, Gorwa",https://www.zomato.com/vadodara/dhadoom-gorwa,400,"Fast Food, Italian, Chinese",3.9,89," 2nd Floor, Inorbit Mall, Gorwa, Vadodara"
