name,link,cost for 2,cuisines,ratings,reviews,address
"new punjabi dhaba Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/new-punjabi-dhaba-gurdaspur-locality,250,"Chinese, Beverages",3.6,1," Opposite Beant College, Gurdaspur Locality, Gurdaspur"
"yumzfoodcourt Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/yumzfoodcourt-gurdaspur-locality,300,"Burger, Sandwich, Fast Food, Beverages",3.4,2," Hardochani Road, Near Jagriti Printing Press, Gurdaspur Locality, Gurdaspur"
"london shakes Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/the-london-shakes-gurdaspur-locality,500,"Burger, Sandwich, Beverages, Desserts",3.6,2," Opp. SSP residence, Ravidass chowk, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
"food wagon Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/food-wagon-gurdaspur-locality,200,"Wraps, Salad, Healthy Food, Beverages",-,," Improvement Trust Market, Opp Kalsi Hospital, Kalanaur Road, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"oota veg/non veg restaurant Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/oota-veg-non-veg-restaurant-gurdaspur-locality,300,North Indian,-,," Near Beant college, Bardar, Gurdaspur 1, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
"sharma bakery Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/sharma-bakery-gurdaspur-locality,,"Bakery, Fast Food",3.6,1," Main Bazar, Near Shivala Mandir, Gurdaspur Locality, Gurdaspur"
"havmor scoop smile Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/havmor-scoop-smile-gurdaspur-locality,,"Ice Cream, Desserts",-,," Shop-3, Civil Lines, Besides Hotel Regalia, Gurdaspur Locality, Gurdaspur"
"eat n meet point Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/eat-n-meet-point-gurdaspur-locality,300,"Italian, Fast Food, Burger",-,," Near Ravi dass Chownk, 5 no.Scheme, Gurdaspur, Gurdaspur Locality, Gurdaspur"
"funbytes Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/funbytes-gurdaspur-locality,200,"American, Cafe, Fast Food",-,," Library Road, Gurdaspur Locality, Gurdaspur"
"burkibite by chawlas2 Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/burkibite-by-chawlas2-gurdaspur-locality,400,North Indian,-,," Circular Road, Near J & K Bank, Batala, Gurdaspur Locality, Gurdaspur"
"amritsiri kulcha king  Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/amritsiri-kulcha-king-gurdaspur-locality,300,North Indian,-,," Hanuman chowk Next to MLA House, Gurdaspur Locality, Gurdaspur"
"north south cafe golden palm  Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/north-south-cafe-golden-palm-1-gurdaspur-locality,300,"Beverages, Cafe",-,," Near beant college of engineering, Bye pass chowk, Pathankot road, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
"bikaner sweets Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/bikaner-sweets-gurdaspur-locality,"1,000",Mithai,3.3,0," Kabutri Chowk, Gurdaspur Locality, Gurdaspur"
"north south cafe golden palm  Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/north-south-cafe-golden-palm-gurdaspur-locality,250,"Sandwich, Fast Food, Beverages, Desserts",3.4,0," Near beant college of engineering, Bye pass chowk, Pathankot road, Gurdaspur - Punjab, Gurdaspur Locality, Gurdaspur"
"hotel friends Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/hotel-friends-gurdaspur-locality,300,"North Indian, Chinese",-,," Mehar Chand Road, Gurdaspur Locality, Gurdaspur"
"grand dezire hotel restaurant Restaurant, Gurdaspur Locality",https://www.zomato.com/gurdaspur/the-grand-dezire-hotel-and-restaurant-gurdaspur-locality,400,"North Indian, Chinese",-,," Opposite Ps garden, Bariar chowk, Gurdaspur, Gurdaspur Locality, Gurdaspur"
