name,link,cost for 2,cuisines,ratings,reviews,address,lat,lon
"coffee house candolim Restaurant, Calangute",https://www.zomato.com/goa/coffee-house-candolim-calangute,350,Cafe,-,," 218-B, Aguada - Siolim Road, Gauravaddo, Annavaddo, Calangute, Goa",15.2549791295,73.9672820270
"carpe diem Restaurant, Majorda",https://www.zomato.com/goa/carpe-diem-majorda,500,"Cafe, Continental",3.8,68," 81/2, Godinho House, Gomes Waddo, Costa Vaddo Road, Majorda, Goa",15.2682345276,73.9608316496
"ट 4 tasty Restaurant, Old Goa",https://www.zomato.com/goa/4-tasty-old-goa,300,Street Food,3.7,52," Royal Arcade, College Road, Marcela, Old Goa, Goa",15.5293269067,73.7648775056
"bytes n bites Restaurant, Penha de Franca",https://www.zomato.com/goa/bytes-n-bites-penha-de-franca,350,Cafe,-,," 799, Edangresh, Alto-Betim, Bardez, Penha De Franca, Goa",15.2853277449,73.9856977388
"kangaroo restaurant Restaurant, Margao",https://www.zomato.com/goa/kangaroo-restaurant-margao,400,"Goan, North Indian, Seafood, Chinese",-,," 13 & 14, Golden Shower Apartments, Matth Road Gogol, Margao, Goa",15.5173748603,73.9598000050
"royal green fast food Restaurant, Margao",https://www.zomato.com/goa/royal-green-fast-food-margao,300,Biryani,-,," House 834/4, Building C, Village Mandpa, Navelim, Salcete, Margao, Goa",15.3130206496,73.9146386459
"cocktails dreams Restaurant, Baga",https://www.zomato.com/goa/cocktails-dreams-baga,800,"Chinese, Goan, North Indian, Seafood, Continental",3.3,86," Tito's Lane, Baga, Goa",15.5099619049,73.7671798468
"basilico Restaurant, Anjuna",https://www.zomato.com/goa/basilico-1-anjuna,500,Italian,3.6,24," Dmello Vaddo, Anjuna, Goa",15.5187000000,73.8006000000
"mirch masala family restaurant bar Restaurant, Old Goa",https://www.zomato.com/goa/mirch-masala-family-restaurant-bar-1-old-goa,400,"Chinese, Goan",3.4,18," Old Panaji - Ponda Highway, Bainguinim, Old Goa, Goa",15.3919553013,74.0041218326
"caravela cafe bistro Restaurant, Panaji",https://www.zomato.com/goa/caravela-cafe-and-bistro-panaji,700,"Cafe, Italian, Goan, Desserts",4.7,682," Caravela Homestay, House 27, 31st January Road, Panaji, Goa",15.4522150361,73.8028287515
"bluez kitchen Restaurant, Candolim",https://www.zomato.com/goa/bluez-kitchen-candolim,"1,000","North Indian, Chinese, Goan",3.2,5," Lane Besides Horizon Grill Vaddy, Candolim, Goa",15.5833001821,73.7403305992
"sarangi family restaurant Restaurant, Ponda",https://www.zomato.com/goa/sarangi-family-restaurant-ponda,200,Chinese,3.1,4," Shop BG-2, Anant Laxmi Complex, South Goa, Ponda, Goa",15.5563251649,73.7534526363
"jds dine inn Restaurant, Majorda",https://www.zomato.com/goa/jds-dine-inn-majorda,800,"Chinese, Goan, Seafood",3.6,23," Majorda-Betalbatim Road, Calata, Majorda, Goa",15.4918254362,73.9094190672
"club tao Restaurant, Baga",https://www.zomato.com/goa/club-tao-baga,"1,300","Continental, North Indian, Seafood",2.6,12," Calungate Baga Road, Baga, Goa",15.5455255757,73.7594346330
"cafe gypsy baba Restaurant, Penha de Franca",https://www.zomato.com/goa/cafe-gypsy-baba-penha-de-franca,600,"Fast Food, Chinese, North Indian",-,," 466, Marra Palacio Road, Pilerne, Penha de Franca, Goa",15.5178264909,73.7650340796
"tataki immersive asian dining Restaurant, Panaji",https://www.zomato.com/goa/tataki-immersive-asian-dining-panaji,"1,800","Asian, Japanese",4.2,166," Bento Miguel Building, D. Joao De Crasto Road, Near Head Post Office, Fontainhas, Panaji, Goa",0.0000000000,0.0000000000
"brittos deli Restaurant, Calangute",https://www.zomato.com/goa/brittos-deli-calangute,"1,000","American, Fast Food",4.0,54," Opposite Calangute Association Ground, Calangute, Goa",15.5916466987,73.9459038153
"meninos Restaurant, Panaji",https://www.zomato.com/goa/meninos-panaji,800,"Goan, Chinese, North Indian",3.4,17," Near Jetty, Dona Paula, Panaji, Goa",15.3101060688,73.9171894267
"tangelo Restaurant, Calangute",https://www.zomato.com/goa/tangelo-calangute,"1,500","North Indian, South Indian, European",3.2,9," Kyriad Prestige Hotel Umta Vaddo, Near Calangute Beach, Calangute, Goa",15.5545202663,73.7568630651
"english rose punjab da taste bar restaurant Restaurant, Candolim",https://www.zomato.com/goa/english-rose-punjab-da-taste-bar-and-restaurant-candolim,600,"North Indian, Fast Food, Chinese",-,," House 556/B, Ward X, Murrod Vaddo, Candolim, Goa",15.3697209331,73.8343366608
"quality kitchen Restaurant, Calangute",https://www.zomato.com/goa/quality-kitchen-1-calangute,500,"Goan, North Indian, Fast Food",-,," Tiwal Waddo, Calangute Beardez, Bardez, Calangute, Goa",15.5913518555,73.8063219935
"premchandra Restaurant, Bicholim",https://www.zomato.com/goa/premchandra-bicholim,200,Seafood,-,," Venkatesh Prasad Building, Near Shantadurga School, Bicholim, Goa",15.5909753083,73.8147806749
"flora restaurant pub Restaurant, Quepem",https://www.zomato.com/goa/flora-restaurant-and-pub-quepem,250,"North Indian, Chinese, South Indian, Goan",3.8,36," 341, Near Curchorem Railway Station, Quepem, Goa",15.4996742356,73.8316219300
"craving house Restaurant, Mapusa",https://www.zomato.com/goa/craving-house-mapusa,500,"North Indian, Chinese",-,," 40, Rua Do Pinto Cordeiro, Mapusa, Goa",15.5442965152,73.7610654160
