name,link,cost for 2,cuisines,ratings,reviews,address
"pearl restaurant banquet hall Restaurant, Alwar Locality",https://www.zomato.com/alwar/pearl-restaurant-banquet-hall-alwar-locality,620,Indian,4.0,13," C 82-83, Hasan Kha, Alwar - 301001, Alwar Locality, Alwar"
"hotel grand ashoka Restaurant, Alwar Locality",https://www.zomato.com/alwar/hotel-grand-ashoka-alwar-locality,650,"North Indian, Chinese, Fast Food",3.6,19," Rajgarh Biwadi Bypass Road, Ambedkar Nagar, Alwar - 301001, Alwar Locality, Alwar"
"baba da paratha Restaurant, Alwar Locality",https://www.zomato.com/alwar/baba-da-paratha-alwar-locality,15,Indian,-,," Shop No 1 agarwal,dharamshala,alware,alwar ward 19,alwar"
"sahiba restaurant Restaurant, Alwar Locality",https://www.zomato.com/alwar/sahiba-restaurant-alwar-locality,400,"North Indian, Chinese, Salad, South Indian, Continental, Pizza, Sandwich, Beverages",3.7,13," Shop Number 146, Manu Marg, Mani Ka Bar, Alwar - 301001, Near Tata Docomo Service Center, Alwar Locality, Alwar"
"scoopers Restaurant, Alwar Locality",https://www.zomato.com/alwar/scoopers-alwar-locality,200,Ice Cream,4.4,14," Shop No.1 Nangli Circle City centre Alwar, Alwar Locality, Alwar"
"facebook fastfood Restaurant, Alwar Locality",https://www.zomato.com/alwar/facebook-fastfood-alwar-locality,100,Fast Food,4.2,17," Jail chowk, opp. Crosspoint Mall, Alwar, Alwar Locality, Alwar"
"forestra Restaurant, Alwar Locality",https://www.zomato.com/alwar/forestra-alwar-locality,400,"Italian, Indian, Continental, Chinese",3.6,12," 1st Floor Jayanti Mall, Ashok Circle, Alwar Locality, Alwar"
"taste 4u bakers Restaurant, Alwar Locality",https://www.zomato.com/alwar/taste-4u-bakers-alwar-locality,150,"Fast Food, Bakery",4.0,14," Near Bal Vihar School, Opposite Company Garden, 1st Gate, Alwar Locality, Alwar"
"face food cafe Restaurant, Alwar Locality",https://www.zomato.com/alwar/face-food-cafe-alwar-locality,150,"Chinese, Fast Food",-,," Opp. Bank Of Baroda , Vijay Nagar , Alwar , Rajasthan - 301001"
"chop shop Restaurant, Alwar Locality",https://www.zomato.com/alwar/chop-shop-alwar-locality,200,Fast Food,3.5,9," Daudpur Fatak, Drum Road, Alwar, Alwar Ward 43, Alwar (Rajasthan)"
"chopras fast food Restaurant, Alwar Locality",https://www.zomato.com/alwar/chopras-fast-food-2-alwar-locality,150,"Fast Food, Chinese",3.5,6," Shop 16, Scheme 2, Alwar Locality, Alwar"
"sportz cafe Restaurant, Alwar Locality",https://www.zomato.com/alwar/sportz-cafe-alwar-locality,300,"Italian, Chinese",-,," 14, Scheme no. 1, opp. YES Bank, Nr. Bhagat singh circle, under metro shoes, Alwar, Alwar Locality, Alwar"
"public cafe Restaurant, Alwar Locality",https://www.zomato.com/alwar/public-cafe-alwar-locality,150,"Cafe Food, Chinese, Continental",-,," Kiosk no. 1, Gate no. 2, Wonder Mall, Alwar, Alwar Locality, Alwar"
"khandelwal pavitra bhojanlaya Restaurant, Alwar Locality",https://www.zomato.com/alwar/khandelwal-pavitra-bhojanlaya-alwar-locality,200,North Indian,3.8,11," Old Station Road, Alwar, Alwar Locality, Alwar"
"mr chop shop Restaurant, Alwar Locality",https://www.zomato.com/alwar/mr-chop-shop-1-alwar-locality,200,"North Indian, Indian",-,," Cross point Mall, Jail Circle, Alwar Locality, Alwar"
"sadda farzi cafe Restaurant, Alwar Locality",https://www.zomato.com/alwar/sadda-farzi-cafe-alwar-locality,500,"Sandwich, Burger, Fast Food, Chinese, Bakery",NEW,," Shop 3, Royal Square Building, Near New Tourist Hotel, Manu Marg, Alwar Locality, Alwar"
"chop shop classic Restaurant, Alwar Locality",https://www.zomato.com/alwar/chop-shop-classic-alwar-locality,250,Mughlai,3.9,14," Lajpat Nagar, Aerodrome Road, Alwar - 301001, Alwar Locality, Alwar"
"refresh food plaza Restaurant, Alwar Locality",https://www.zomato.com/alwar/refresh-food-plaza-1-alwar-locality,200,"North Indian, Fast Food",3.4,11," Food Plaza, Platform no. 1, Railway Station, Alwar, Alwar Locality, Alwar"
"rich rich vegrestaurant Restaurant, Alwar Locality",https://www.zomato.com/alwar/rich-rich-veg-restaurant-alwar-locality,150,"Ice Cream, Fast Food",4.1,11," Klassic 1, Nagli Cir, Nehru Garden Road, Hamirpur, Alwar - 301001, Opposite Radha Krishan Temple, Alwar Locality, Alwar"
"scoopers Restaurant, Alwar Locality",https://www.zomato.com/alwar/scoopers-1-alwar-locality,400,Ice Cream,4.1,10," Shop No. 14 Ground Floor, Cross point Mall Alwar, Alwar Locality, Alwar"
"jagdish chicken corner Restaurant, Alwar Locality",https://www.zomato.com/alwar/jagdish-chicken-corner-alwar-locality,250,Mughlai,3.7,6," S No-13, Alwar - 301001, Ram Krishna Mkt, General Hospital, Ram Ganj, Alwar Locality, Alwar"
"al lazeez restaurant  Restaurant, Alwar Locality",https://www.zomato.com/alwar/al-lazeez-restaurant-alwar-locality,300,"North Indian, Mughlai, Rajasthani",-,," P.N.3, Near Gate No.3, Apna Ghar Shalimar, Main Alwar Bhiwadi Road, Alwar, Alwar (Rajasthan) - 301001, Alwar Locality, Alwar"
"jolly belly Restaurant, Alwar Locality",https://www.zomato.com/alwar/jolly-belly-1-alwar-locality,200,"South Indian, Italian, Fast Food, Chinese",3.6,11," Nr. Nangli Circle, Alwar, Alwar Locality, Alwar"
"city platform Restaurant, Alwar Locality",https://www.zomato.com/alwar/city-platform-alwar-locality,350,"Italian, South Indian, Chinese, Fast Food",3.6,12," 1st floor upon Kwality Bakery, Scheme 2, Alwar, Alwar Locality, Alwar"
"imperial hotel Restaurant, Alwar Locality",https://www.zomato.com/alwar/imperial-hotel-alwar-locality,300,"North Indian, Mughlai",4.0,8," 1, Manu Marg, Alwar, Alwar Locality, Alwar"
"hotel moti doongri palace Restaurant, Alwar Locality",https://www.zomato.com/alwar/hotel-moti-doongri-palace-alwar-locality,,"South Indian, Indian",3.5,12," Moti Doongri Alwar, Alwar Locality, Alwar"
"headquarter cafe restro h/q  Restaurant, Alwar Locality",https://www.zomato.com/alwar/headquarter-cafe-restro-h-q-alwar-locality,250,"Cafe, North Indian",3.9,9," 31, Saroj tower, opportunity.ICICI, Bhagat Singh, Alwar, Alwar Locality, Alwar"
"amul parlour Restaurant, Alwar Locality",https://www.zomato.com/alwar/amul-parlour-alwar-locality,150,"Ice Cream, Fast Food",3.5,8," 21B Manu Marg, Alwar, Alwar Locality,Alwar"
"city heart bakers Restaurant, Alwar Locality",https://www.zomato.com/alwar/city-heart-bakers-alwar-locality,200,"Bakery, Fast Food",3.7,9," Scheme 2, Lajpat Nagar, Opposite Easy Day Main Road, Alwar Locality, Alwar"
"khalsa veg non veg dhaba Restaurant, Alwar Locality",https://www.zomato.com/alwar/khalsa-veg-and-non-veg-dhaba-alwar-locality,250,North Indian,3.8,7," 54, Tejmandi Near Purani truck Union, Alwar, Alwar Locality, Alwar"
"eatwell bakery confectionery Restaurant, Alwar Locality",https://www.zomato.com/alwar/eatwell-bakery-confectionery-alwar-locality,350,"Fast Food, Desserts",-,," Opposite company Bagh Alwar, Alwar Locality, Alwar"
"gandhi juice shakes Restaurant, Alwar Locality",https://www.zomato.com/alwar/gandhi-juice-and-shakes-alwar-locality,100,Juices,3.9,11," Ashoka Talkies Vivekananda Chowk alwar, Alwar Locality, Alwar"
"chinese hut fast food corner Restaurant, Alwar Locality",https://www.zomato.com/alwar/chinese-hut-fast-food-corner-alwar-locality,150,Fast Food,-,," Shivaji Park main road Alwar, Alwar Locality, Alwar"
"cygnett lite restaurant Restaurant, Alwar Locality",https://www.zomato.com/alwar/cygnett-lite-restaurant-alwar-locality,600,"North Indian, Mughlai, Indian, Afghan",3.4,8," ￼ Near samola circle, alwar- rajgarh bypass 200 feet road, Roopbas, Alwar, Rajasthan 301001, Alwar Locality, Alwar"
"chopra fast food Restaurant, Alwar Locality",https://www.zomato.com/alwar/chopra-fast-food-alwar-locality,200,Chinese,3.7,9," scheme no.2, near Mohan gas agency lajpat nagar alwar, Alwar Locality, Alwar"
"laxmi misthan bhandar Restaurant, Alwar Locality",https://www.zomato.com/alwar/laxmi-misthan-bhandar-alwar-locality,300,"Mithai, Fast Food",3.7,7," Bajaja Bajar, Alwar, Alwar Locality, Alwar"
"patties king Restaurant, Alwar Locality",https://www.zomato.com/alwar/patties-king-alwar-locality,350,"Fast Food, Pizza, Rolls, Sandwich, Beverages",3.7,10," Shop no 40, Alkapuri Shopping Complex Alwar, Alwar Locality, Alwar"
"bakery palace Restaurant, Alwar Locality",https://www.zomato.com/alwar/bakery-palace-alwar-locality,100,Bakery,3.6,6," 95, Shiv Complex, opp. Dushera Ground, Alwar, Alwar Locality, Alwar"
"arora g chop shop Restaurant, Alwar Locality",https://www.zomato.com/alwar/arora-g-chop-shop-alwar-locality,200,"Chinese, Fast Food",3.9,11," Shop No. 6 Next to Mohan Gas, Lajpat Nagar, Scheme No.2, Alwar, Alwar Locality, Alwar"
"yes cafe restaurant Restaurant, Alwar Locality",https://www.zomato.com/alwar/yes-cafe-and-restaurant-1-alwar-locality,250,North Indian,3.5,5," Harshil Tower, 29, Naru Marg, Near Bharat Cinema, Alwar, Alwar Locality, Alwar"
"mathura kachori Restaurant, Alwar Locality",https://www.zomato.com/alwar/mathura-kachori-alwar-locality,50,"Fast Food, Street Food",3.6,5," Hope Circus, Near Nitin Hosiery, Alwar, Rajasthan - 301001."
"shakes india Restaurant, Alwar Locality",https://www.zomato.com/alwar/shakes-of-india-8-alwar-locality,250,Beverages,3.4,8," 4, Shri Ram Market, Company Bagh Bypass Road Alwar Locality, Alwar"
"coffee world cafe Restaurant, Alwar Locality",https://www.zomato.com/alwar/coffee-world-cafe-alwar-locality,350,"Cafe, Pizza, Sandwich",-,," UG-10 Wonder Mall, Behind Company Bagh Alwar, Alwar Locality, Alwar"
"fusion cafe Restaurant, Alwar Locality",https://www.zomato.com/alwar/fusion-cafe-alwar-locality,200,"Cafe, Chinese, North Indian",3.6,5," Bus Stand Rd, Moti Doongri, Alwar, Rajasthan 301001"
