name,link,cost for 2,cuisines,ratings,reviews,address
"modern choupati Restaurant, Sharda Vihar",https://www.zomato.com/amravati/modern-choupati-sharda-vihar,300,"North Indian, Chinese",2.9,5," Near Kharti Hospital, Sharda Vihar Amravati"
"hotel adarsh desi vilayti veg Restaurant, Nai Basti",https://www.zomato.com/amravati/hotel-adarsh-desi-vilayti-veg-nai-basti,300,"Indian, Modern Indian, North Indian",3.3,4," choudhari chowk, old Cotton market road, old Cotton market, Amravati, Nai Basti, Amravati"
"farmaish hotel rajdhani Restaurant, Ambapeth",https://www.zomato.com/amravati/farmaish-hotel-rajdhani-ambapeth,500,"North Indian, Modern Indian, Maharashtrian",3.4,3," khandelwal market, ambadevi road, Amravati, Ambapeth, Amravati"
"guptaji gilawada center Restaurant, Ambapeth",https://www.zomato.com/amravati/guptaji-gilawada-center-ambapeth,100,Maharashtrian,3.4,3," shop no. 15 Apmc complex old cotton market near adarsh hotel amravati, Ambapeth, Amravati"
"monsoon chaat corner Restaurant, Navsaari",https://www.zomato.com/amravati/monsoon-chaat-corner-navsaari,100,Fast Food,-,," Pachawati Squar, Gadge nagar, amravati, Navsaari, Amravati"
"maratha bhojnalya Restaurant, Maltekedi",https://www.zomato.com/amravati/maratha-bhojnalya-maltekedi,150,"Maharashtrian, North Indian",3.6,3," radha krushna Complex, near S T stand Maltekedi, Amravati"
"manbhari food mart Restaurant, Navsaari",https://www.zomato.com/amravati/manbhari-food-mart-navsaari,200,"Bakery, Sandwich",3.4,4," gadge nagar square, Amravati"
"manoj family restaurant Restaurant, Maltekedi",https://www.zomato.com/amravati/manoj-family-restaurant-maltekedi,200,"South Indian, North Indian, Maharashtrian, Chinese",3.6,2," near bus stand, Maltekedi, Amravati"
"premacha chaha Restaurant, Ambapeth",https://www.zomato.com/amravati/premacha-chaha-ambapeth,100,"Tea, Coffee",2.7,3," Bhele Complex, Amba mandir road, gandhi chowk, amravati, Ambapeth, Amravati"
"cafe mh 27 Restaurant, Navsaari",https://www.zomato.com/amravati/cafe-mh-27-navsaari,150,"Pizza, Fast Food, Chinese",-,," Shree Om apartment gadhe nagar amravati, Navsaari, Amravati"
"jashn restaurant Restaurant, Maltekedi",https://www.zomato.com/amravati/jashn-restaurant-maltekedi,300,"North Indian, Maharashtrian",3.2,1," old bypass road, Maltekedi, Amravati"
"dinshaws cups cone ice creams Restaurant, Sai Nagar",https://www.zomato.com/amravati/dinshaws-cups-and-cone-ice-creams-sai-nagar,150,Ice Cream,3.1,1," in front nanda suzuki shoroom below panino navate, Sai Nagar, Amravati"
"beyond temptation rukmini nagar Restaurant, Maltekedi",https://www.zomato.com/amravati/beyond-temptation-rukmini-nagar-maltekedi,200,"Sandwich, Pizza, Coffee, Burger",-,," the cafe coffee shop, bapatwadi, subnis plot, near radiant hospital, Amravati, Amravati"
"dashratna veg nonveg restaurant Restaurant, Maltekedi",https://www.zomato.com/amravati/dashratna-veg-nonveg-restaurant-maltekedi,250,"North Indian, Modern Indian, Maharashtrian",3.2,0," Railway Station to Bus Stand Road, Amravati, Maltekedi, Amravati"
"al karim restaurant Restaurant, Ambapeth",https://www.zomato.com/amravati/al-karim-restaurant-ambapeth,150,,-,," Usmaniya Masjid Complex, Bus Stand Road, Amravati - 444601, Ambapeth, Amravati"
"shri sai chinese fast food Restaurant, Ambapeth",https://www.zomato.com/amravati/shri-sai-chinese-and-fast-food-ambapeth,300,"North Indian, Chinese",3.4,0," Parlour Shilpi Complex, Badnera Road, Rajapeth, Ambapeth, Amravati"
"amantran sweets Restaurant, Maltekedi",https://www.zomato.com/amravati/amantran-sweets-maltekedi,200,"Mithai, Bakery, Fast Food, Street Food",3.4,0," near bus stand, maltekdi road,Amravati"
"khana khazana Restaurant, Navsaari",https://www.zomato.com/amravati/khana-khazana-navsaari,150,,-,," Sh 242, Amravati - 444602, Navsaari, Amravati"
"red hot cafe Restaurant, Juni Basti",https://www.zomato.com/amravati/red-hot-cafe-juni-basti,700,Fast Food,-,," Shop no. 2, Sai haights Near coputer sircle Rathi nagar Gadge nagar, Juni Basti, Amravati"
"todays breakfast Restaurant, Sai Nagar",https://www.zomato.com/amravati/todays-breakfast-sai-nagar,100,Fast Food,-,," Navathe square, near Hotel Rangoli pearl,Badnera Road Amaravati"
"nanas yummy treats Restaurant, Dastur Nagar",https://www.zomato.com/amravati/nanas-yummy-treats-dastur-nagar,,"Pizza, Fast Food, Burger",3.3,2," c/o sachin konde shop no. 17B shree gopal asosiiets amravati, Dastur Nagar, Amravati"
