url,fav,lat,lon
https://www.zomato.com/jaipur/moolchand-paratha-mansarovar,₹200 for two people (approx.),26.8733037726,75.7759485394
https://www.zomato.com/jaipur/hotel-simla-bar-pink-city,₹600 for two people (approx.) with alcohol,26.9286715139,75.8285426348
https://www.zomato.com/jaipur/jal-mahal-itc-rajputana-hotel-gopalbari,"Breakfast Buffet, Churma, Salad, Waffles, Mousse, Fish, Sweet Lassi",26.9188553695,75.7918228582
https://www.zomato.com/jaipur/pandit-pav-bhaji-mansarovar,₹150 for two people (approx.),26.8705292748,75.7680806145
https://www.zomato.com/jaipur/shawarma-brothers-malviya-nagar,₹250 for two people (approx.),26.8548855998,75.8086037636
https://www.zomato.com/jaipur/delta-chat-food-bapu-nagar,₹200 for two people (approx.),26.8897875568,75.8090077713
https://www.zomato.com/jaipur/swadesi-fast-food-adarsh-nagar,₹250 for two people (approx.),26.9050075251,75.8248455450
https://www.zomato.com/jaipur/tamanna-confectioners-bakers-mansarovar,₹200 for two people (approx.),26.8444958654,75.7718937099
https://www.zomato.com/jaipur/pizza-square-vidhyadhar-nagar,₹250 for two people (approx.),26.9522967680,75.7842218131
https://www.zomato.com/jaipur/hotel-mini-mahal-ajmer-highway,₹300 for two people (approx.),26.8381825285,75.7595810294
https://www.zomato.com/jaipur/sharma-pavitra-bhojnalya-mansarovar,₹400 for two people (approx.),26.8914200000,75.7422900000
https://www.zomato.com/jaipur/burger-singh-big-punjabi-burgers-mi-road,"Fries, Ice Cream Sandwich, Burger Meal",26.9164440252,75.8098489791
https://www.zomato.com/jaipur/the-masaalchis-kitchen-adarsh-nagar,₹500 for two people (approx.),26.9062333576,75.7967564464
https://www.zomato.com/jaipur/biryani-blues-malviya-nagar,₹700 for two people (approx.),26.8534632859,75.8051292971
https://www.zomato.com/jaipur/thali-king-malviya-nagar,₹300 for two people (approx.),26.8398150433,75.8236482739
https://www.zomato.com/jaipur/sanjay-restaurant-egg-dee-bapu-nagar,"Egg Pizza, Egg Biryani, Obama Omelette, Masala Omelette, Egg Roll, Egg Bhurji, Egg Paratha",26.8903392574,75.8103824034
https://www.zomato.com/jaipur/pizza-mr-beans-mansarovar,"Pizza, Salad, Garlic Bread",26.8773055450,75.7733612135
https://www.zomato.com/jaipur/cloud-cake-company-1-malviya-nagar,₹800 for two people (approx.),26.8513930000,75.8185190000
https://www.zomato.com/jaipur/papaya-c-scheme,"Papaya Shake, Mango Shake",26.9072250762,75.7975171879
https://www.zomato.com/jaipur/rj45-the-chicken-company-1-malviya-nagar,₹700 for two people (approx.),26.8188702802,75.8589917421
https://www.zomato.com/jaipur/thadi-c-scheme,₹650 for two people (approx.),26.9132352969,75.8029355854
https://www.zomato.com/jaipur/bistro-restaurant-raja-park,"Pizza, Panneer Butter Masala, Thali, Malai Kofta, Noodle, Dal Makhani, Chinese Samosa",26.8919470980,75.8291843534
https://www.zomato.com/jaipur/the-kitchen-21-tonk-road,"₹1,000 for two people (approx.)",26.8223111764,75.7948302850
https://www.zomato.com/jaipur/fun-n-food-raja-park,"Maggi, Momos, Mixed Sauce Pasta, Spring Roll, White Sauce Pasta, Honey Chilli Potatoes",26.8928890062,75.8280481026
https://www.zomato.com/jaipur/top-n-town-ice-cream-shastri-nagar,₹200 for two people (approx.),26.9408848249,75.7987811789
https://www.zomato.com/jaipur/pizza-factory-2-malviya-nagar,₹400 for two people (approx.),26.8478940000,75.8214140000
https://www.zomato.com/jaipur/bombay-mishthan-bhandar-mi-road,"Lassi, Chole Bhature, Thali, Kachori, Jalebi, Poori Bhaji, Dhokla",26.9150126202,75.8249367401
https://www.zomato.com/jaipur/shake-n-bake-tonk-road,₹300 for two people (approx.),26.8776700000,75.7930920000
https://www.zomato.com/jaipur/yo-china-adarsh-nagar,₹500 for two people (approx.),26.9033044927,75.8369178325
